gg	1.2	0.91652	[0, 0, 0, 1, 0, 3, 0, 0, 0, 0]
gga	1.7	0.4899	[2, 1, 1, 1, 2, 1, 2, 1, 1, 2]
gigo	-0.6	0.74833	[0, 2, 2, 1, 0, 1, 2, 2, 1, 1]
gj	2.0	0.45826	[2, 2, 1, 2, 2, 1, 2, 2, 1, 2]
gl	1.3	111355.00	[-2, -1, 1, 0, 0, 0, -1, -2, -2, 1]
gla	2.5	1.0	[2, 1, 2, 1, 1, 3, 4, 2, 3, 1]
gn	1.2	0.64031	[1, 1, 1, 1, 3, 1, 1, 2, 1, 1]
gr8	2.7	0.92195	[1, 2, 2, 4, 2, 4, 2, 3, 3, 2]
grrr	-0.4	0.74833	[1, 1, 1, 1, 3, 1, 1, 2, 1, 0]
gt	1.1	0.78102	[1, 3, 3, 4, 3, 2, 3, 2, 3, 3]
h&k	2.3	142829.00	[-2, -1, 0, 1, -2, -1, -1, 3, 0, -1]
hagd	2.2	0.53852	[1, 1, 1, 1, 1, 1, 2, 1, 0, 2]
hagn	2.2	0.78102	[2, 2, 2, 3, 4, 2, 3, 2, 1, 2]
hago	1.2	0.87178	[2, 2, 3, 2, 1, 3, 4, 1, 2, 2]
hak	1.9	0.87178	[2, 2, 3, 2, 1, 3, 4, 1, 2, 2]
hand	2.2	0.4	[1, 2, 1, 1, 1, 2, 1, 1, 1, 1]
hho1/2k	1.4	0.7	[3, 1, 2, 2, 1, 2, 3, 2, 1, 2]
hhoj	2.0	0.87178	[2, 2, 1, 3, 2, 3, 4, 1, 2, 2]
hhok	0.9	0.63246	[3, 3, 4, 3, 4, 2, 3, 4, 3, 3]
hugz	2.0	0.48305	[4, 3, 3, 3, 4, 3, 3, 3, 4, 3]
hi5	1.9	111355.00	[1, -1, 2, 3, 1, 1, 1, 2, 3, 1]
idk	-0.4	109545.00	[4, 2, 1, 1, 2, 1, 1, 4, 2, 2]
ijs	0.7	0.9434	[1, 2, 1, 0, -1, 0, 2, 1, 1, 2]
ilu	3.4	0.7746	[2, 3, 1, 3, 1, 3, 1, 2, 2, 2]
iluaaf	2.7	0.53852	[2, 2, 2, 1, 3, 2, 1, 2, 2, 2]
ily	3.4	0.66332	[0, 0, 0, 0, -1, -2, 0, 0, 0, -1]
ily2	2.6	184662.00	[0, -1, 0, -1, 0, 4, 0, 4, -1, 2]
iou	0.7	0.66332	[3, 4, 3, 4, 2, 3, 4, 3, 4, 4]
iyq	2.3	1.1	[3, 3, 3, 2, 3, 0, 4, 3, 2, 4]
j/j	2.0	0.66332	[3, 4, 3, 4, 2, 3, 4, 3, 4, 4]
j/k	1.6	0.66332	[3, 2, 3, 2, 3, 2, 3, 4, 2, 2]
j/p	1.4	134536.00	[0, 0, -1, 2, 0, 0, 0, 4, 1, 1]
j/t	-0.2	118743.00	[3, 3, 1, 1, 2, 1, 4, 4, 3, 1]
j/w	1.0	134164.00	[4, 1, 1, 1, 1, 4, 4, 1, 2, 1]
j4f	1.4	1.2	[1, 2, 1, 3, 0, 0, 2, 2, 1, 4]
j4g	1.7	0.66332	[1, 1, 0, 2, 1, 2, 2, 2, 1, 2]
jho	0.8	146969.00	[1, -1, -1, -2, 1, 1, 2, -2, 1, -2]
jhomf	1.0	1.0	[1, 1, 1, 3, 0, 0, 0, 2, 0, 2]
jj	1.0	0.8	[2, 1, 1, 0, 3, 1, 1, 1, 2, 2]
jk	0.9	118743.00	[1, 4, 1, 1, 3, 1, 3, 0, 2, 1]
jp	0.8	0.4	[1, 1, 1, 1, 0, 1, 1, 1, 0, 1]
jt	0.9	0.63246	[1, 1, 1, 0, 1, 0, 2, 2, 1, 1]
jw	1.6	0.63246	[1, 1, 1, 1, 2, 0, 2, 1, 1, 0]
jealz	-1.2	122066.00	[1, 0, 0, 1, 0, 0, 2, 1, 4, 0]
k4y	2.3	0.74833	[1, 1, 1, 0, 2, 0, 2, 0, 1, 0]
kfy	2.3	0.83066	[1, 1, 0, 2, 2, 0, 2, 0, 1, 0]
kia	-3.2	168523.00	[3, 0, 0, 0, 0, 0, 3, 4, 2, 4]
kk	1.5	0.9798	[-1, -1, -1, 1, -2, -2, -1, -3, -1, -1]
kmuf	2.2	100499.00	[2, 1, 1, 2, 4, 2, 3, 4, 2, 2]
l	2.0	0.64031	[2, 2, 2, 1, 3, 2, 3, 3, 2, 3]
l&r	2.2	0.6	[-3, -3, -3, -4, -3, -2, -3, -3, -4, -4]
laoj	1.3	10247.00	[2, 1, 0, 0, 1, 2, 3, 3, 2, 1]
lmao	2.9	1.4	[2, 2, 2, 3, 4, 3, -1, 1, 4, 2]
lmbao	1.8	0.7746	[2, 1, 2, 3, 2, 3, 1, 3, 2, 1]
lmfao	2.5	0.74833	[3, 2, 2, 3, 1, 3, 1, 3, 2, 2]
lmso	2.7	173494.00	[1, -2, -1, 3, 3, 2, 4, 1, 1, 1]
lol	4.0	118322.00	[3, 0, 3, 0, 3, 1, 3, 2, 3, 2]
lolz	2.7	177764.00	[3, 2, 2, 2, 1, 3, -3, 2, 4, 2]
lts	1.6	128452.00	[3, 2, 3, 3, 3, -1, 4, 2, 3, 2]
ly	2.6	0.78102	[3, 3, 4, 3, 3, 1, 3, 3, 2, 2]
ly4e	2.7	0.83066	[4, 2, 2, 2, 4, 2, 3, 3, 4, 3]
lya	3.3	0.78102	[2, 3, 3, 2, 2, 4, 4, 3, 2, 2]
lyb	3.0	0.66332	[1, 1, 2, 2, 1, 3, 1, 1, 2, 2]
lyl	3.1	0.91652	[2, 2, 1, 3, 4, 4, 3, 2, 2, 3]
lylab	2.7	0.78102	[3, 3, 3, 2, 1, 3, 3, 4, 2, 3]
lylas	2.6	0.78102	[3, 4, 4, 4, 2, 2, 3, 4, 3, 4]
lylb	1.6	0.63246	[3, 3, 4, 3, 2, 3, 2, 4, 3, 3]
m8	1.4	0.7	[4, 3, 4, 3, 2, 3, 3, 2, 4, 3]
mia	-1.2	0.78102	[3, 3, 3, 1, 3, 4, 2, 2, 3, 3]
mml	2.0	0.8	[3, 3, 3, 1, 3, 4, 2, 2, 2, 3]
